品名,價格(單位:千),原價(單位:千),售出量,網址
Genius DX-110 Wired Mouse,150,,,https://ph.xiapibuy.com//Genius-DX-110-Wired-Mouse-i.23145560.2082213446
Genius i608x for Creative Painting w/ Cordless Mouse,"2,490",,,https://ph.xiapibuy.com//Genius-i608x-for-Creative-Painting-w-Cordless-Mouse-i.28528173.2078209094
Genius SP-U115 USB Powered Stereo Speakers (Black),360,,,https://ph.xiapibuy.com//Genius-SP-U115-USB-Powered-Stereo-Speakers-(Black)-i.108091192.1856035518
Genius keyboard,"1,200",,,https://ph.xiapibuy.com//Genius-keyboard-i.120091388.1832776604
Genius Mouse DX-110 PS2,253,,,https://ph.xiapibuy.com//Genius-Mouse-DX-110-PS2-i.86865676.1826212197
Genius wireless mouse,150,,,https://ph.xiapibuy.com//Genius-wireless-mouse-i.67336013.1607343147
Graphics Tablet,"2,500",,,https://ph.xiapibuy.com//Graphics-Tablet-i.12130553.1113771101
Mouse Genius DX-125,300,,,https://ph.xiapibuy.com//Mouse-Genius-DX-125-i.60014378.972731313
Genius Ultra Thin Mini Keyboard LuxePad i9010 for iPad Mini,"1,699",,,https://ph.xiapibuy.com//Genius-Ultra-Thin-Mini-Keyboard-LuxePad-i9010-for-iPad-Mini-i.21604021.589172526
Wireless mouse,380,,,https://ph.xiapibuy.com//Wireless-mouse-i.27207335.512362343
Genius NX-7015 Wireless Stylish Mouse - Metallic Chocolate,395,₱630,95 sold,https://ph.xiapibuy.com//Genius-NX-7015-Wireless-Stylish-Mouse-Metallic-Chocolate-i.25952313.408378530
Genius NX-7000 2.4GHz Wireless Mouse,325,,941 sold,https://ph.xiapibuy.com//Genius-NX-7000-2.4GHz-Wireless-Mouse-i.25952313.378957832
ME Genius DX-110 Wired Mouse (Black),115,₱299,948 sold,https://ph.xiapibuy.com//ME-Genius-DX-110-Wired-Mouse-(Black)-i.59709146.1261065990
Evil Geniuses Extended Gaming Mousepad,129,,295 sold,https://ph.xiapibuy.com//Evil-Geniuses-Extended-Gaming-Mousepad-i.64730879.1168373100
ME genius netscroll eye high-procision optical wheel mouse,99,₱399,358 sold,https://ph.xiapibuy.com//ME-genius-netscroll-eye-high-procision-optical-wheel-mouse-i.59709146.1381026812
HP Genius Gaming Mouse M280 6400 dpi Adjustable Wired RGB Led Mice,377,₱754,16 sold,https://ph.xiapibuy.com//HP-Genius-Gaming-Mouse-M280-6400-dpi-Adjustable-Wired-RGB-Led-Mice-i.51938001.4613990432
8x10 L11 evil geniuses Gaming mousepads washable,35,,24 sold,https://ph.xiapibuy.com//8x10-L11-evil-geniuses-Gaming-mousepads-washable-i.39261070.1661278498
HP Genius Gaming Mouse M280 6400 dpi Mouse Led Wired Colorful Mice Ergonomic Gamer Mouse,400,₱800,3 sold,https://ph.xiapibuy.com//HP-Genius-Gaming-Mouse-M280-6400-dpi-Mouse-Led-Wired-Colorful-Mice-Ergonomic-Gamer-Mouse-i.73078918.4013800415
EG Evil Geniuses Dota 2 L11 Gaming Mouse Pad,35,₱100,159 sold,https://ph.xiapibuy.com//EG-Evil-Geniuses-Dota-2-L11-Gaming-Mouse-Pad-i.88458867.1539252194
Generic Evil Genius Gaming Mousepad Generic,25,₱160,40 sold,https://ph.xiapibuy.com//Generic-Evil-Genius-Gaming-Mousepad-Generic-i.24086792.408156961
ME Genius DX-110 Wired Mouse( Black),100,,1 sold,https://ph.xiapibuy.com//ME-Genius-DX-110-Wired-Mouse(-Black)-i.182923610.7834998338
GENIUS DX-110 COMPUTER MOUSE,100,,,https://ph.xiapibuy.com//GENIUS-DX-110-COMPUTER-MOUSE-i.148802542.5035943530
Genius Learning Machine Student Tablet Computer Bag T 101 Cover T,482,,,https://ph.xiapibuy.com//Genius-Learning-Machine-Student-Tablet-Computer-Bag-T-101-Cover-T-i.159529004.3234804484
Original DELL WM118 Wireless Mouse games Office Optical Mouse Dell USB Black Genius,848,,,https://ph.xiapibuy.com//Original-DELL-WM118-Wireless-Mouse-games-Office-Optical-Mouse-Dell-USB-Black-Genius-i.112833568.2604885108
Original Dell wm126 office wireless mouse USB mini-receiver DELL Genius mouse game,"1,145",,,https://ph.xiapibuy.com//Original-Dell-wm126-office-wireless-mouse-USB-mini-receiver-DELL-Genius-mouse-game-i.112833568.2603352923
10PCS Steelseries Evil Geniuses EG DOTA 2 L11 Gaming Mouse Pad,230,₱599,19 sold,https://ph.xiapibuy.com//10PCS-Steelseries-Evil-Geniuses-EG-DOTA-2-L11-Gaming-Mouse-Pad-i.88458867.2346201209
EG Evil Geniuses Dota 2 L-11 SteelSeries Gaming Mouse Pad,35,₱80,38 sold,https://ph.xiapibuy.com//EG-Evil-Geniuses-Dota-2-L-11-SteelSeries-Gaming-Mouse-Pad-i.116431964.1892553005
Genius DX-125 Wired Mouse,280,,2 sold,https://ph.xiapibuy.com//Genius-DX-125-Wired-Mouse-i.47862040.1734539217
10pcs L11 Evil Geniuses EG Gaming MousePad Mouse Pad,450,,17 sold,https://ph.xiapibuy.com//10pcs-L11-Evil-Geniuses-EG-Gaming-MousePad-Mouse-Pad-i.17133971.1340289861
Genius G-Pen 450 Tablet with Cordless Pen,899,,,https://ph.xiapibuy.com//Genius-G-Pen-450-Tablet-with-Cordless-Pen-i.9498451.1301864726
GENIUS WIRED OPTICAL MOUSE DX-110,299,,,https://ph.xiapibuy.com//GENIUS-WIRED-OPTICAL-MOUSE-DX-110-i.14563529.719276412
25 x 21 cm Generic Evil Geniuses Gaming Mousepad,40,₱50,29 sold,https://ph.xiapibuy.com//25-x-21-cm-Generic-Evil-Geniuses-Gaming-Mousepad-i.39593.39863593
✟Suitable for small genius children''s tablet K1 K2 protection dedicated 10 inch inner bile bag han,527,,,https://ph.xiapibuy.com//✟Suitable-for-small-genius-children''s-tablet-K1-K2-protection-dedicated-10-inch-inner-bile-bag-han-i.154429926.4514523256
Latest Eva Hard Case Protector For Noco Genius G750/ .75 Amp 6V / 12V Ultrasafe Lithium Starter Port,421,,1 sold,https://ph.xiapibuy.com//Latest-Eva-Hard-Case-Protector-For-Noco-Genius-G750-.75-Amp-6V-12V-Ultrasafe-Lithium-Starter-Port-i.129873129.2137538247
Genius SP-U115 Speakers,495,,,https://ph.xiapibuy.com//Genius-SP-U115-Speakers-i.20959443.1996659630
Genius Netscroll 100x USB Optical Mouse,255,,,https://ph.xiapibuy.com//Genius-Netscroll-100x-USB-Optical-Mouse-i.20959443.1942468901
Genius NX-7015 Wireless Mouse (Metallic Rosy Brown),395,₱780,115 sold,https://ph.xiapibuy.com//Genius-NX-7015-Wireless-Mouse-(Metallic-Rosy-Brown)-i.25952313.378937548
Genius NX-7015 Wireless Mouse (Metallic Chocolate),396,₱630,217 sold,https://ph.xiapibuy.com//Genius-NX-7015-Wireless-Mouse-(Metallic-Chocolate)-i.25952313.313573833
Genius SP-U115 Colorful Usb Powered Stereo Speakers,330,,1 sold,https://ph.xiapibuy.com//Genius-SP-U115-Colorful-Usb-Powered-Stereo-Speakers-i.98271967.2402433660
Genius SP-U115 USB Powered Speaker,450,₱599,,https://ph.xiapibuy.com//Genius-SP-U115-USB-Powered-Speaker-i.16176125.560724350
Evil Geniuses Extended Gaming Mouse Pad,290,,,https://ph.xiapibuy.com//Evil-Geniuses-Extended-Gaming-Mouse-Pad-i.132142718.2341344999
Genius DX-125 USB MOUSE,600,,,https://ph.xiapibuy.com//Genius-DX-125-USB-MOUSE-i.16176125.339794144
