品名,價格,原價,售出量,網址
Wireless mouse,380,,,https://ph.xiapibuy.com//Wireless-mouse-i.27207335.512362343
Genius Mouse PS2 DX-110,150,170,31,https://ph.xiapibuy.com//Genius-Mouse-PS2-DX-110-i.5288978.201473097
ME Genius DX-110 Wired Mouse (Black),145,299,867,https://ph.xiapibuy.com//ME-Genius-DX-110-Wired-Mouse-(Black)-i.59709146.1261065990
Evil Geniuses Extended Gaming Mousepad,85,129,274,https://ph.xiapibuy.com//Evil-Geniuses-Extended-Gaming-Mousepad-i.64730879.1168373100
ME genius netscroll eye high-procision optical wheel mouse,145,399,353,https://ph.xiapibuy.com//ME-genius-netscroll-eye-high-procision-optical-wheel-mouse-i.59709146.1381026812
HP Genius Gaming Mouse M280 6400 dpi Adjustable Wired RGB Led Mice,377,754,10,https://ph.xiapibuy.com//HP-Genius-Gaming-Mouse-M280-6400-dpi-Adjustable-Wired-RGB-Led-Mice-i.51938001.4613990432
8x10 L11 evil geniuses Gaming mousepads washable,35,,21,https://ph.xiapibuy.com//8x10-L11-evil-geniuses-Gaming-mousepads-washable-i.39261070.1661278498
HP Genius Gaming Mouse M280 6400 dpi Mouse Led Wired Colorful Mice Ergonomic Gamer Mouse,400,800,1,https://ph.xiapibuy.com//HP-Genius-Gaming-Mouse-M280-6400-dpi-Mouse-Led-Wired-Colorful-Mice-Ergonomic-Gamer-Mouse-i.73078918.4013800415
ME Genius DX-110 Wired Mouse( Black),100,,,https://ph.xiapibuy.com//ME-Genius-DX-110-Wired-Mouse(-Black)-i.182923610.7834998338
Genius Mahjong Girl 11 Cartoon Mouse Pad,839,,,https://ph.xiapibuy.com//Genius-Mahjong-Girl-11-Cartoon-Mouse-Pad-i.162579528.3928162231
Genius Learning Machine Student Tablet Computer Bag T 101 Cover T,482,,,https://ph.xiapibuy.com//Genius-Learning-Machine-Student-Tablet-Computer-Bag-T-101-Cover-T-i.159529004.3234804484
Original DELL WM118 Wireless Mouse games Office Optical Mouse Dell USB Black Genius,848,,,https://ph.xiapibuy.com//Original-DELL-WM118-Wireless-Mouse-games-Office-Optical-Mouse-Dell-USB-Black-Genius-i.112833568.2604885108
Original Dell wm126 office wireless mouse USB mini-receiver DELL Genius mouse game,"1,145",,,https://ph.xiapibuy.com//Original-Dell-wm126-office-wireless-mouse-USB-mini-receiver-DELL-Genius-mouse-game-i.112833568.2603352923
10PCS Steelseries Evil Geniuses EG DOTA 2 L11 Gaming Mouse Pad,230,599,19,https://ph.xiapibuy.com//10PCS-Steelseries-Evil-Geniuses-EG-DOTA-2-L11-Gaming-Mouse-Pad-i.88458867.2346201209
Evil Geniuses Extended Gaming Mouse Pad,290,,,https://ph.xiapibuy.com//Evil-Geniuses-Extended-Gaming-Mouse-Pad-i.132142718.2341344999
EG Evil Geniuses Dota 2 L-11 SteelSeries Gaming Mouse Pad,35,80,38,https://ph.xiapibuy.com//EG-Evil-Geniuses-Dota-2-L-11-SteelSeries-Gaming-Mouse-Pad-i.116431964.1892553005
EG Evil Geniuses Dota 2 L11 Gaming Mouse Pad,35,100,155,https://ph.xiapibuy.com//EG-Evil-Geniuses-Dota-2-L11-Gaming-Mouse-Pad-i.88458867.1539252194
Genius G-Pen 450 Tablet with Cordless Pen,899,,,https://ph.xiapibuy.com//Genius-G-Pen-450-Tablet-with-Cordless-Pen-i.9498451.1301864726
Genius SP-920BT Bluetooth Speaker (Black),"1,890",,,https://ph.xiapibuy.com//Genius-SP-920BT-Bluetooth-Speaker-(Black)-i.26881592.7902766828
GENIUS WIRED OPTICAL MOUSE DX-110,299,,,https://ph.xiapibuy.com//GENIUS-WIRED-OPTICAL-MOUSE-DX-110-i.14563529.719276412
25 x 21 cm Generic Evil Geniuses Gaming Mousepad,40,50,29,https://ph.xiapibuy.com//25-x-21-cm-Generic-Evil-Geniuses-Gaming-Mousepad-i.39593.39863593
Washable Microfiber Replacement Pads For Shark Lift-Away Pro/Genius Steam Pocket Mop 3973 S3973D S5002 S5003 S6001 S6002 S6003,"1,327",,,https://ph.xiapibuy.com//Washable-Microfiber-Replacement-Pads-For-Shark-Lift-Away-Pro-Genius-Steam-Pocket-Mop-3973-S3973D-S5002-S5003-S6001-S6002-S6003-i.182111385.6531811227
✟Suitable for small genius children''s tablet K1 K2 protection dedicated 10 inch inner bile bag han,527,,,https://ph.xiapibuy.com//✟Suitable-for-small-genius-children''s-tablet-K1-K2-protection-dedicated-10-inch-inner-bile-bag-han-i.154429926.4514523256
Latest Eva Hard Case Protector For Noco Genius G750/ .75 Amp 6V / 12V Ultrasafe Lithium Starter Port,421,,1,https://ph.xiapibuy.com//Latest-Eva-Hard-Case-Protector-For-Noco-Genius-G750-.75-Amp-6V-12V-Ultrasafe-Lithium-Starter-Port-i.129873129.2137538247
genius media pointer 100 wireless presenter,"1,173",,1,https://ph.xiapibuy.com//genius-media-pointer-100-wireless-presenter-i.190204037.6318160534
Genius SP-U115 Speakers,495,,,https://ph.xiapibuy.com//Genius-SP-U115-Speakers-i.20959443.1996659630
Genius Smart Keyboard KB-100 USB Black (Classic),520,,,https://ph.xiapibuy.com//Genius-Smart-Keyboard-KB-100-USB-Black-(Classic)-i.26881592.6519426938
Genius Netscroll 100x USB Optical Mouse,255,,,https://ph.xiapibuy.com//Genius-Netscroll-100x-USB-Optical-Mouse-i.20959443.1942468901
Genius Scorpion K215 USB Keyboard (Black),980,,,https://ph.xiapibuy.com//Genius-Scorpion-K215-USB-Keyboard-(Black)-i.26881592.5102755863
"Genius SP-U115, 1.5W, USB Speaker",350,,,https://ph.xiapibuy.com//Genius-SP-U115-1.5W-USB-Speaker-i.26881592.1977455534
"Genius MousePen i608x 6""x8"" Tablet with Mouse,Pen Storable","2,990",,,https://ph.xiapibuy.com//Genius-MousePen-i608x-6-x8-Tablet-with-Mouse-Pen-Storable-i.26881592.1974822714
Genius Easypen I405X Tablet,"1,990",,2,https://ph.xiapibuy.com//Genius-Easypen-I405X-Tablet-i.26881592.1074819502
Genius SP-U115 USB Powered Speaker,450,599,,https://ph.xiapibuy.com//Genius-SP-U115-USB-Powered-Speaker-i.16176125.560724350
Genius SP-U115 USB Powered Stereo PC Speaker (Blue),590,,,https://ph.xiapibuy.com//Genius-SP-U115-USB-Powered-Stereo-PC-Speaker-(Blue)-i.158176378.2462532421
Genius SP-U115 USB Powered Stereo PC Speaker (Black),390,,,https://ph.xiapibuy.com//Genius-SP-U115-USB-Powered-Stereo-PC-Speaker-(Black)-i.158176378.2462528818
Genius DX-125 USB MOUSE,600,,,https://ph.xiapibuy.com//Genius-DX-125-USB-MOUSE-i.16176125.339794144
Genius SP-U115 USB Powered Stereo PC Speaker (Red),390,,,https://ph.xiapibuy.com//Genius-SP-U115-USB-Powered-Stereo-PC-Speaker-(Red)-i.158176378.2462523886
Genius DX-125 Wired Mouse (Black),233,,,https://ph.xiapibuy.com//Genius-DX-125-Wired-Mouse-(Black)-i.158176378.2461313794
New Genius smart KB-100 wired usb smart keyboard (black),299,,2,https://ph.xiapibuy.com//New-Genius-smart-KB-100-wired-usb-smart-keyboard-(black)-i.158176378.2457925996
