品名,價格,原價,折扣,售出量,網址
Nicer Dicer Speedy Chopper,300,,,,https://ph.xiapibuy.com//Nicer-Dicer-Speedy-Chopper-i.27428325.5915903330
Genius stationary writing pad,150,,,,https://ph.xiapibuy.com//Genius-stationary-writing-pad-i.157930908.5810756583
EQ Genius Diaper Pants  XXLarge 30's,320,,,,https://ph.xiapibuy.com//EQ-Genius-Diaper-Pants-XXLarge-30's-i.76983823.5514479704
Speedy        chopper,150,,,,https://ph.xiapibuy.com//Speedy-chopper-i.260348546.5434707962
Free Shipping COD Brandnew Genius SP906BT Portable Bluetooth Speaker Loud and Extra Bass,"1,499","₱3,000",,,https://ph.xiapibuy.com//Free-Shipping-COD-Brandnew-Genius-SP906BT-Portable-Bluetooth-Speaker-Loud-and-Extra-Bass-i.6619964.5434320728
KEYBOARD GENIUS KB100 BLACK WIRED USB TYPE,310,,,,https://ph.xiapibuy.com//KEYBOARD-GENIUS-KB100-BLACK-WIRED-USB-TYPE-i.225424611.4832477848
SP-D120 - Cubed Stereo Speakers - USB Powered,500,,,,https://ph.xiapibuy.com//SP-D120-Cubed-Stereo-Speakers-USB-Powered-i.105173708.4733368855
Genius GX Gaming Mousepad,280,,,,https://ph.xiapibuy.com//Genius-GX-Gaming-Mousepad-i.101606686.4732510554
Genius Media Pointer 100,"1,750",,,,https://ph.xiapibuy.com//Genius-Media-Pointer-100-i.218407747.4614778272
Original Genius USB Powered Speaker SP-U115 Blue,159,,,,https://ph.xiapibuy.com//Original-Genius-USB-Powered-Speaker-SP-U115-Blue-i.14522674.3706759792
Genius Foldable Headset for Chatting,99,,,,https://ph.xiapibuy.com//Genius-Foldable-Headset-for-Chatting-i.255922204.3634781741
"Genius Mushroom, 90 capsules","2,500",,,,https://ph.xiapibuy.com//Genius-Mushroom-90-capsules-i.55188074.3520644766
Genius GX Gaming Maurus Black,850,,,,https://ph.xiapibuy.com//Genius-GX-Gaming-Maurus-Black-i.101606686.3432723643
Genius Nicer Dicer Plus Speedy chopper,200,,,,https://ph.xiapibuy.com//Genius-Nicer-Dicer-Plus-Speedy-chopper-i.26927125.3149687735
Genius Ergonomic Stylish Wireless Mouse w/ BlueEye Sensor Technology - Ocean Blue,475,,,,https://ph.xiapibuy.com//Genius-Ergonomic-Stylish-Wireless-Mouse-w-BlueEye-Sensor-Technology-Ocean-Blue-i.28960708.3114258129
Genius two way wood speakers,200,,,,https://ph.xiapibuy.com//Genius-two-way-wood-speakers-i.3285023.3112601585
Genius Portable Bluetooth Speaker,"1,380",,,,https://ph.xiapibuy.com//Genius-Portable-Bluetooth-Speaker-i.10463200.2771789522
iSHOPiffy EasyPen i405X,"1,688",,,,https://ph.xiapibuy.com//iSHOPiffy-EasyPen-i405X-i.31089441.2675419813
The Genius Brand Genius Consciousness Nootropic Biohack Technology for Mental Performance 79g,"3,219",,,,https://ph.xiapibuy.com//The-Genius-Brand-Genius-Consciousness-Nootropic-Biohack-Technology-for-Mental-Performance-79g-i.592842.2298649559
Genius SP-906BT Outdoor Portable Bluetooth Speaker (Blue),"1,850",,,,https://ph.xiapibuy.com//Genius-SP-906BT-Outdoor-Portable-Bluetooth-Speaker-(Blue)-i.151592928.2292611001
MousePen i608X,"2,200",,,,https://ph.xiapibuy.com//MousePen-i608X-i.123025548.2138697683
Genius Econo Pack Extra Large 35's - Pants Baby Diapers,351,,,451 sold,https://ph.xiapibuy.com//Genius-Econo-Pack-Extra-Large-35's-Pants-Baby-Diapers-i.76378406.1731485142
MousePen i608X,"2,200",,,,https://ph.xiapibuy.com//MousePen-i608X-i.123025548.2138696943
bouncer,"5,000",,,,https://ph.xiapibuy.com//bouncer-i.42740739.2091474919
Genius i608x for Creative Painting w/ Cordless Mouse,"2,490",,,,https://ph.xiapibuy.com//Genius-i608x-for-Creative-Painting-w-Cordless-Mouse-i.28528173.2078209094
ENCOKiDS 0-6M Cute Socks,180,,,,https://ph.xiapibuy.com//ENCOKiDS-0-6M-Cute-Socks-i.133334211.2005415443
Korean Brand Pimpollo 삠뽀요 Top Set,600,,,1 sold,https://ph.xiapibuy.com//Korean-Brand-Pimpollo-삠뽀요-Top-Set-i.133334211.2002657607
