品名,價格(單位:千),原價(單位:千),售出量,網址
Promo keyboard USB. Genius. Keyboard computer keyboard  murah,50.000,,,https://id.xiapibuy.com//Promo-keyboard-USB.-Genius.-Keyboard-computer-keyboard-murah-i.62886178.3612241072
Mouse Genius Wireless NX-7010 Original,105.000,,,https://id.xiapibuy.com//Mouse-Genius-Wireless-NX-7010-Original-i.34445123.2672322110
Mouse Genius,180.000,,,https://id.xiapibuy.com//Mouse-Genius-i.80004389.2392698799
KEYBOARD NUMPAD GENIUS I130,195.000,,,https://id.xiapibuy.com//KEYBOARD-NUMPAD-GENIUS-I130-i.83915912.2347371729
Keyboard genius,30.000,,,https://id.xiapibuy.com//Keyboard-genius-i.72610692.2292526610
Paket Combo Keyboard dan Mouse Wireless Genius Slimstar 8006,235.000,,1,https://id.xiapibuy.com//Paket-Combo-Keyboard-dan-Mouse-Wireless-Genius-Slimstar-8006-i.134655227.2131168725
Keyboard Genius KB 8000X / Keyboard & Mouse Wireless,245.000,,,https://id.xiapibuy.com//Keyboard-Genius-KB-8000X-Keyboard-Mouse-Wireless-i.24799243.2121685573
Keyboard genius smart kb-100,95.000,,,https://id.xiapibuy.com//Keyboard-genius-smart-kb-100-i.137397240.2112519494
Keyboard Genius KB110X,120.000,,,https://id.xiapibuy.com//Keyboard-Genius-KB110X-i.129049560.2088570979
Mouse Genius Cable DX-110 USB Cable-Mouse Genius,25.000,,1,https://id.xiapibuy.com//Mouse-Genius-Cable-DX-110-USB-Cable-Mouse-Genius-i.95415590.1807149781
MOUSE GENIUS WIRELESS NX7005 original,118.000,,,https://id.xiapibuy.com//MOUSE-GENIUS-WIRELESS-NX7005-original-i.65789571.1717454369
Tablet Pen Drawing Genius i405X,595.000,,,https://id.xiapibuy.com//Tablet-Pen-Drawing-Genius-i405X-i.3324948.1321586359
GENIUS KEYBOARD  SMART KB128 USB  + MOUSE USB DX 125 PAKET COMBO,135.000,,5,https://id.xiapibuy.com//GENIUS-KEYBOARD-SMART-KB128-USB-MOUSE-USB-DX-125-PAKET-COMBO-i.3324948.1319245005
Genius Micro Traveler Super Mini Mouse Retractable USB Cable,86.500,,,https://id.xiapibuy.com//Genius-Micro-Traveler-Super-Mini-Mouse-Retractable-USB-Cable-i.26009573.748533919
Genius Value Desktop Keyboard KB-110 USB,95.000,,14,https://id.xiapibuy.com//Genius-Value-Desktop-Keyboard-KB-110-USB-i.27384532.390938761
Genius KID DESIGNER Drawing Tablet,450.000,,,https://id.xiapibuy.com//Genius-KID-DESIGNER-Drawing-Tablet-i.19826704.212455206
Mouse Genius USB Baru + Free Mousepad Logitech,32.500,,33,https://id.xiapibuy.com//Mouse-Genius-USB-Baru-Free-Mousepad-Logitech-i.8587449.54253808
MOUSE WIRELESS GENIUS NX7015,112.000,,,https://id.xiapibuy.com//MOUSE-WIRELESS-GENIUS-NX7015-i.51477114.5610552757
MURAH! Genius Mouse mini retractable,36.000,,6,https://id.xiapibuy.com//MURAH!-Genius-Mouse-mini-retractable-i.9434768.1455696376
genius mouse pen 1608x 6x8 graphic tablet,790.000,,6,https://id.xiapibuy.com//genius-mouse-pen-1608x-6x8-graphic-tablet-i.12031235.1183765886
GENIUS MOUSE WIRELESS NX-7010 (NX7010) Wireless Mouse Murah Blueye,132.000,,,https://id.xiapibuy.com//GENIUS-MOUSE-WIRELESS-NX-7010-(NX7010)-Wireless-Mouse-Murah-Blueye-i.174737305.6734881986
Keyboard USB Genius KB110,50.000,,,https://id.xiapibuy.com//Keyboard-USB-Genius-KB110-i.20905520.5534980316
mouse genius 7000,100.000,,,https://id.xiapibuy.com//mouse-genius-7000-i.257417000.5235269112
Keyboard Wireless Slimstar 8006,240.000,,,https://id.xiapibuy.com//Keyboard-Wireless-Slimstar-8006-i.242558135.4634889541
mouse genius x-G200,75.000,,,https://id.xiapibuy.com//mouse-genius-x-G200-i.252070496.7930378763
Mouse Genius NX-7005 WIRELESS,100.000,,,https://id.xiapibuy.com//Mouse-Genius-NX-7005-WIRELESS-i.41486473.7920692539
xvf-157 KEYBOARD GENIUS KB 110 ^^,178.000,,,https://id.xiapibuy.com//xvf-157-KEYBOARD-GENIUS-KB-110--i.158163873.7915323595
KEYBOARD GENIUS SLIMSTAR 130 USB,105.000,,,https://id.xiapibuy.com//KEYBOARD-GENIUS-SLIMSTAR-130-USB-i.93133347.7912671125
MOUSE USB GAMING GENIUS,200.000,,,https://id.xiapibuy.com//MOUSE-USB-GAMING-GENIUS-i.11255028.7904205041
Mouse USB Genius NetScroll 120 Black,62.900,,,https://id.xiapibuy.com//Mouse-USB-Genius-NetScroll-120-Black-i.181422528.7818727447
Keyboard USB Genius KB-128 Original,150.000,,,https://id.xiapibuy.com//Keyboard-USB-Genius-KB-128-Original-i.217301582.7814385587
Optical Mouse USB Genius netscroll 120,45.000,,,https://id.xiapibuy.com//Optical-Mouse-USB-Genius-netscroll-120-i.24139154.7634446007
MOUSE USB GENIUS DX-125,65.000,,,https://id.xiapibuy.com//MOUSE-USB-GENIUS-DX-125-i.252270527.7633769013
Mouse kabel genius dx - 125,85.000,,,https://id.xiapibuy.com//Mouse-kabel-genius-dx-125-i.155966314.7633441257
MOUSE WIRELESS GENIUS NX-7000,92.500,,,https://id.xiapibuy.com//MOUSE-WIRELESS-GENIUS-NX-7000-i.56541807.7632492903
Genius DX-125 Mouse USB,68.000,,,https://id.xiapibuy.com//Genius-DX-125-Mouse-USB-i.57191995.7616465092
GENIUS NX-7000/NX7000 Wireless Optical Mouse ORIGINAL & GARANSI RESMI,155.000,210.000,,https://id.xiapibuy.com//GENIUS-NX-7000-NX7000-Wireless-Optical-Mouse-ORIGINAL-GARANSI-RESMI-i.135138014.7604989965
Mouse Wireless Genius nx-7000,95.000,,,https://id.xiapibuy.com//Mouse-Wireless-Genius-nx-7000-i.26467583.7530442093
MOUSE GENIUS DX-125,52.000,,,https://id.xiapibuy.com//MOUSE-GENIUS-DX-125-i.20657233.7519547432
Keyboard Genius Value Desktop KB-125 USB,117.000,,,https://id.xiapibuy.com//Keyboard-Genius-Value-Desktop-KB-125-USB-i.145285060.7518904107
Genius Mouse Pen i608X,736.000,,,https://id.xiapibuy.com//Genius-Mouse-Pen-i608X-i.26009573.7516462410
Mouse Gaming Genius X-G510,195.000,,,https://id.xiapibuy.com//Mouse-Gaming-Genius-X-G510-i.43772315.7502289106
mouse genius nx7015,120.000,,,https://id.xiapibuy.com//mouse-genius-nx7015-i.123797003.7431477170
cbg-605 Wireless Mouse Genius NX7000 NX-7000,163.000,,,https://id.xiapibuy.com//cbg-605-Wireless-Mouse-Genius-NX7000-NX-7000-i.182920639.7431450970
zdw-648 Wireless Mouse Genius NX7000 NX-7000 ..,156.000,,,https://id.xiapibuy.com//zdw-648-Wireless-Mouse-Genius-NX7000-NX-7000-..-i.182524553.7415386252
Mouse GENIUS NX 7005 Wireless,118.000,,,https://id.xiapibuy.com//Mouse-GENIUS-NX-7005-Wireless-i.11245692.7332604880
Mouse Wireless Genius 7015,120.000,,,https://id.xiapibuy.com//Mouse-Wireless-Genius-7015-i.60901488.7318165244
MOUSE GENIUS WIRELESS NX 7005 BLUE EYE 1200 DPi ORIGINAL,250.000,,,https://id.xiapibuy.com//MOUSE-GENIUS-WIRELESS-NX-7005-BLUE-EYE-1200-DPi-ORIGINAL-i.192084690.7318140849
Kerboard genius second,60.000,,,https://id.xiapibuy.com//Kerboard-genius-second-i.130915753.7317932729
MOUSE USB DX 130 GENIUS,43.000,,,https://id.xiapibuy.com//MOUSE-USB-DX-130-GENIUS-i.214053397.7317651699
cbg-064 Genius Mouse Wireless NX-7010 ..,173.000,,,https://id.xiapibuy.com//cbg-064-Genius-Mouse-Wireless-NX-7010-..-i.186459503.7315923489
KEYBOARD USB GENIUS 125,78.300,,,https://id.xiapibuy.com//KEYBOARD-USB-GENIUS-125-i.9970607.7230603805
Mouse GENIUS DX 125 Kabel,65.000,,,https://id.xiapibuy.com//Mouse-GENIUS-DX-125-Kabel-i.17292814.7222607030
Keyboard Gaming Genius Scorpion K5 Black,290.000,,,https://id.xiapibuy.com//Keyboard-Gaming-Genius-Scorpion-K5-Black-i.129695263.7101938823
Genius Keyboard KB C100 P2 new ori,55.000,,,https://id.xiapibuy.com//Genius-Keyboard-KB-C100-P2-new-ori-i.26763450.7020623234
xvf-426 KEYBOARD GENIUS KB 110 ..,175.000,,,https://id.xiapibuy.com//xvf-426-KEYBOARD-GENIUS-KB-110-..-i.180567975.7015290148
Clearance Sale Mouse Genius Traveler 315 Laser,59.999,,,https://id.xiapibuy.com//Clearance-Sale-Mouse-Genius-Traveler-315-Laser-i.93112392.7000121022
MOUSE USB DX 110 BLACK GENIUS,43.000,,,https://id.xiapibuy.com//MOUSE-USB-DX-110-BLACK-GENIUS-i.214053397.6817651488
Keyboard Genius KB100,90.000,,,https://id.xiapibuy.com//Keyboard-Genius-KB100-i.1968200.6817563061
Wireless Optical Mouse Genius NX-7000 Original,100.000,,,https://id.xiapibuy.com//Wireless-Optical-Mouse-Genius-NX-7000-Original-i.242558135.6725324937
Keyboard USB Genius KB100,97.000,,,https://id.xiapibuy.com//Keyboard-USB-Genius-KB100-i.144247386.6712065491
Mouse USB GENIUS DX 125,70.000,,,https://id.xiapibuy.com//Mouse-USB-GENIUS-DX-125-i.27081596.6631961040
Best Price   Mouse Genius DX 125 USB    PASTI AWET,109.000,,,https://id.xiapibuy.com//Best-Price-Mouse-Genius-DX-125-USB-PASTI-AWET-i.195092280.6624375957
KEYBOARD USB GENIUS KB-100,95.000,,,https://id.xiapibuy.com//KEYBOARD-USB-GENIUS-KB-100-i.20657233.6515676410
Mouse Genius Scorpion M6,300.000,,,https://id.xiapibuy.com//Mouse-Genius-Scorpion-M6-i.210098818.6511841028
Genius MousePen i608 Pen Tablet Alat Desain Grafis,890.000,,,https://id.xiapibuy.com//Genius-MousePen-i608-Pen-Tablet-Alat-Desain-Grafis-i.27174479.6432296756
Mouse Genius NX-7015 WIRELESS,115.000,,,https://id.xiapibuy.com//Mouse-Genius-NX-7015-WIRELESS-i.41486473.6422986465
keyboard genius kb-100,113.000,,,https://id.xiapibuy.com//keyboard-genius-kb-100-i.158339664.6418758640
Xscroll mouse genius colokan ps2 1pcs,25.000,,,https://id.xiapibuy.com//Xscroll-mouse-genius-colokan-ps2-1pcs-i.858443.6334543482
MOUSE USB GENIUS,60.000,,,https://id.xiapibuy.com//MOUSE-USB-GENIUS-i.259991043.6333817836
KEYBOARD USB GENIUS,115.000,,,https://id.xiapibuy.com//KEYBOARD-USB-GENIUS-i.259991043.6333803012
KEYBOARD GENIUS KB100,95.000,,,https://id.xiapibuy.com//KEYBOARD-GENIUS-KB100-i.241703093.6331339070
KEYBOARD USB GENIUS KB-110,50.000,,,https://id.xiapibuy.com//KEYBOARD-USB-GENIUS-KB-110-i.215456084.6328922012
Keyboard Genius SCORPION K220,195.000,,,https://id.xiapibuy.com//Keyboard-Genius-SCORPION-K220-i.17556622.6328550800
Keyboard GENIUS KB-110X USB,117.000,,,https://id.xiapibuy.com//Keyboard-GENIUS-KB-110X-USB-i.145534848.6318913720
mouse usb genius 110,82.000,,,https://id.xiapibuy.com//mouse-usb-genius-110-i.145766144.6318908445
PROMO! Mouse Genius Cam Mouse,215.000,,,https://id.xiapibuy.com//PROMO!-Mouse-Genius-Cam-Mouse-i.85278048.6317312160
MOUSE WIRELESS GENIUS NX-7000,120.000,,,https://id.xiapibuy.com//MOUSE-WIRELESS-GENIUS-NX-7000-i.252270527.6233940204
Genius Mouse Dx125 Wired Optical Mouse,55.000,,,https://id.xiapibuy.com//Genius-Mouse-Dx125-Wired-Optical-Mouse-i.3324948.6229983550
Keyboard & Mouse PS2 Combo Genius KB-C100 Basic Desktop Kit,150.000,,,https://id.xiapibuy.com//Keyboard-Mouse-PS2-Combo-Genius-KB-C100-Basic-Desktop-Kit-i.60901488.6218195590
zdw-951 Mouse Wireless Genius NX 7005 BlueEye Sensor Original ^^,219.000,,,https://id.xiapibuy.com//zdw-951-Mouse-Wireless-Genius-NX-7005-BlueEye-Sensor-Original--i.181015651.6215215220
Genius Slim Numeric Keypad Numpad i110 (CUCU GUDANG SALE),65.000,,,https://id.xiapibuy.com//Genius-Slim-Numeric-Keypad-Numpad-i110-(CUCU-GUDANG-SALE)-i.81234822.6215041769
Mouse genius werles,120.000,,,https://id.xiapibuy.com//Mouse-genius-werles-i.26870737.6132521132
smart keyboard genius usb kb 100 (keyboard usb genius),100.000,,,https://id.xiapibuy.com//smart-keyboard-genius-usb-kb-100-(keyboard-usb-genius)-i.924212.6128374468
Mouse Genius GX Gaming Ammox X1-400,175.000,,,https://id.xiapibuy.com//Mouse-Genius-GX-Gaming-Ammox-X1-400-i.19826704.6120190668
Genius Keyboard PS2 + Mouse ps2 BONUS Konverter ke usb,135.000,,,https://id.xiapibuy.com//Genius-Keyboard-PS2-Mouse-ps2-BONUS-Konverter-ke-usb-i.17209726.6119561566
Mouse Wireless Genius NX7000,100.000,,,https://id.xiapibuy.com//Mouse-Wireless-Genius-NX7000-i.214053397.6117497360
keyboard genius ps2 06XE,60.000,,,https://id.xiapibuy.com//keyboard-genius-ps2-06XE-i.257417000.6032606878
Genius EasyPen i405 Pen Tablet Alat Desain Grafis,690.000,,,https://id.xiapibuy.com//Genius-EasyPen-i405-Pen-Tablet-Alat-Desain-Grafis-i.27174479.6032296280
Mouse Wireless Genius Blueeye Optical 1200Dpi NX-7000,119.000,,,https://id.xiapibuy.com//Mouse-Wireless-Genius-Blueeye-Optical-1200Dpi-NX-7000-i.158339664.6018698501
Mouse USB Genius NetScroll 120 Black,51.800,,,https://id.xiapibuy.com//Mouse-USB-Genius-NetScroll-120-Black-i.145534793.6018633517
Mouse Wireless Genius NX7000,130.000,,,https://id.xiapibuy.com//Mouse-Wireless-Genius-NX7000-i.107027749.6011101255
Mouse Wireless Genius NX-7010,135.000,,1,https://id.xiapibuy.com//Mouse-Wireless-Genius-NX-7010-i.195415203.6006591222
Genius Mouse NX-7015 Gold,120.000,,,https://id.xiapibuy.com//Genius-Mouse-NX-7015-Gold-i.10045193.5933621390
"xvd-487 GENIUS NX-7000/NX7000 Wireless Optical Mouse ORIGINAL & GARANSI RESMI !,",246.000,,,https://id.xiapibuy.com//xvd-487-GENIUS-NX-7000-NX7000-Wireless-Optical-Mouse-ORIGINAL-GARANSI-RESMI-!--i.187074458.5915619655
mouse genius DX110,65.000,,,https://id.xiapibuy.com//mouse-genius-DX110-i.32368635.5833313828
KEYBOARD GENIUS - BEKAS MINT,40.000,,,https://id.xiapibuy.com//KEYBOARD-GENIUS-BEKAS-MINT-i.41208424.5831611399
GAMING MOUSE GENIUS,77.000,,,https://id.xiapibuy.com//GAMING-MOUSE-GENIUS-i.5111838.5827084595
Keyboard usb genius kb-100,95.000,,,https://id.xiapibuy.com//Keyboard-usb-genius-kb-100-i.242558135.5825333323
Mouse Genius NX-7010 WIRELESS,113.000,,,https://id.xiapibuy.com//Mouse-Genius-NX-7010-WIRELESS-i.41486473.5820704094
KEYBOARD NUMERIK GENIUS,100.000,,,https://id.xiapibuy.com//KEYBOARD-NUMERIK-GENIUS-i.76551339.5728074739
Mouse Wireless Genius NX-7015 OriginaL,125.000,,,https://id.xiapibuy.com//Mouse-Wireless-Genius-NX-7015-OriginaL-i.143896216.5634119504
Genius Tablet MousePen i608X,710.000,,,https://id.xiapibuy.com//Genius-Tablet-MousePen-i608X-i.41486473.5622929777
Mouse Gaming Genius Scorpion M6-600 Black Optical,225.000,,,https://id.xiapibuy.com//Mouse-Gaming-Genius-Scorpion-M6-600-Black-Optical-i.113335203.5620242793
Mouse Standar Genius USB 110,79.000,,,https://id.xiapibuy.com//Mouse-Standar-Genius-USB-110-i.145696783.5618821827
xvd-008 GENIUS Slim 2.4Ghz Wireless Keyboard Combo Slimstar 8000X .!,354.000,,,https://id.xiapibuy.com//xvd-008-GENIUS-Slim-2.4Ghz-Wireless-Keyboard-Combo-Slimstar-8000X-.!-i.186112249.5615677419
Mouse Wireless Genius NX-7000,115.000,,,https://id.xiapibuy.com//Mouse-Wireless-Genius-NX-7000-i.195415203.5615340172
Mouse Wireless Genius,98.500,,,https://id.xiapibuy.com//Mouse-Wireless-Genius-i.222799263.5526446976
Mouse PS2 Genius DX-110 PS2,60.000,,,https://id.xiapibuy.com//Mouse-PS2-Genius-DX-110-PS2-i.21500214.5518127025
Keyboard USB genius KB100,90.000,,,https://id.xiapibuy.com//Keyboard-USB-genius-KB100-i.20259330.5509297857
Clearance Sale Mouse Genius WebScroll,49.000,,,https://id.xiapibuy.com//Clearance-Sale-Mouse-Genius-WebScroll-i.93112392.5500745789
Mouse wireless GENIUS nx 7000 Blue Eye Technology,95.000,,,https://id.xiapibuy.com//Mouse-wireless-GENIUS-nx-7000-Blue-Eye-Technology-i.186258378.5418141366
NB147 Genius Mouse DX120 USB Original,102.000,,,https://id.xiapibuy.com//NB147-Genius-Mouse-DX120-USB-Original-i.217321344.5416191981
